won,lost,left
436.53,359.29,379.71
434.77,300.44,450.62
409.58,318.46,439.55
414.17,303.31,288.48
459.38,412.28,414.06
429.62,328.41,397.51
443.81,403.03,258.60
431.35,301.81,428.21
438.24,404.24,466.99
371.94,422.19,413.59
389.13,402.58,337.99
451.02,275.81,164.40
399.47,363.02,378.81
408.12,426.88,194.82
439.13,381.86,409.61
457.09,345.55,474.32
440.37,435.29,372.86
461.34,377.06,429.39
460.67,354.03,342.64
414.94,397.47,385.36
425.94,367.34,403.35
374.78,412.31,461.86
425.49,250.95,363.73
451.64,422.34,444.59
387.29,403.74,389.27
426.85,284.67,470.03
369.25,153.11,331.17
303.53,436.96,411.46
439.83,460.35,479.44
323.36,219.52,397.61
432.52,482.62,267.90
429.20,422.02,441.49
414.45,,342.70
397.83,,383.06
403.80,,473.49
301.87,,379.67
431.25,,408.05
448.94,,385.99
432.92,,428.45
403.95,,444.32
459.50,,479.36
391.68,,375.10
318.99,,193.50
387.21,,426.92
441.40,,393.96
457.71,,472.47
323.19,,477.51
370.31,,433.79
351.39,,
435.69,,
364.27,,
402.08,,
335.57,,
415.64,,
309.66,,
384.83,,
451.59,,
463.91,,
324.23,,
466.58,,
426.99,,
418.43,,
455.10,,
442.24,,
450.74,,
421.18,,
349.82,,
355.13,,
212.26,,
361.68,,
394.41,,
448.82,,
298.94,,
416.54,,
417.69,,
365.71,,
461.03,,
455.13,,
415.78,,
383.15,,
335.88,,
417.26,,
397.35,,
448.91,,
424.34,,
301.31,,
372.58,,
442.34,,
466.80,,
436.44,,
378.17,,
405.32,,
436.45,,
314.20,,
317.34,,
429.50,,
356.16,,
439.17,,
391.58,,
367.35,,
415.94,,
376.25,,
444.05,,
428.26,,
398.42,,
425.86,,
385.77,,
464.81,,
285.60,,
453.45,,
426.94,,
448.35,,
431.17,,
402.75,,
467.60,,
434.32,,
400.20,,
438.38,,
420.10,,
406.80,,
465.35,,
407.71,,
380.92,,
462.54,,
367.63,,
414.10,,
461.31,,
454.26,,
447.96,,
338.21,,
387.86,,
392.82,,
440.89,,
368.70,,
407.38,,
351.56,,
404.62,,
421.40,,
384.89,,
449.48,,
423.48,,
438.41,,
392.59,,
355.10,,
410.94,,
407.01,,
447.38,,
360.11,,
394.93,,
383.91,,
241.32,,
33.96,,
59.42,,
254.25,,
313.56,,
350.34,,
378.79,,
401.91,,
410.29,,
426.64,,
466.60,,
475.13,,
480.55,,
305.04,,
287.33,,
268.47,,
407.88,,
417.46,,
