race,x,y
won,95.26,143.89
won,91.15,86.88
won,108.51,289.80
won,28.46,171.44
won,110.80,115.64
won,157.76,183.16
won,50.58,284.03
won,87.72,346.13
won,55.98,130.54
won,66.67,185.06
won,78.63,170.56
won,162.87,199.55
won,112.87,335.54
won,19.26,274.55
won,121.20,206.99
won,77.75,360.83
left,128.18,307.44
won,100.76,167.57
won,152.35,166.30
won,102.64,320.43
won,64.08,281.18
won,16.30,183.56
won,245.68,197.79
won,127.44,178.03
won,65.92,142.59
won,72.70,185.37
won,101.76,73.07
won,173.58,212.43
left,135.08,132.06
won,88.36,237.72
won,98.95,100.93
won,157.03,255.83
won,70.34,107.13
left,125.65,114.55
won,89.85,153.58
won,238.16,181.78
won,61.73,95.25
won,73.75,311.36
won,142.93,242.66
won,77.48,330.70
won,85.81,69.29
won,78.41,114.65
won,106.63,241.08
won,80.27,95.30
won,120.69,292.73
won,44.00,192.24
won,96.83,157.40
won,73.95,215.64
won,59.88,334.88
won,73.09,81.81
won,82.06,267.51
won,66.54,166.04
won,107.46,190.40
won,85.60,165.93
won,90.27,131.31
won,40.86,314.10
won,117.65,248.69
won,61.67,257.96
won,105.58,268.87
won,108.25,86.39
won,53.71,148.91
won,56.34,307.90
won,86.35,221.92
won,174.80,264.98
won,81.19,150.99
won,87.34,284.37
won,19.15,156.95
won,31.41,264.48
left,133.35,196.83
won,132.79,279.40
won,148.51,283.35
won,99.13,119.33
won,116.67,320.29
won,110.30,176.86
won,105.26,129.16
left,39.11,162.68
won,136.41,150.27
won,24.39,136.35
won,45.21,296.68
won,43.28,176.51
won,75.03,221.00
won,94.35,308.62
won,58.69,195.22
won,150.24,141.20
won,35.37,151.69
won,35.27,281.83
won,111.94,255.28
won,71.18,296.20
left,50.79,261.46
won,49.10,274.69
won,119.03,230.99
won,95.67,186.33
left,44.20,120.20
won,55.74,184.03
left,39.59,249.59
won,55.01,246.44
won,114.41,200.78
won,43.51,137.03
won,64.42,121.08
won,110.67,303.95
won,114.54,103.25
won,64.99,320.93
won,78.89,262.24
won,102.56,349.70
left,146.70,198.41
won,78.53,282.80
won,71.73,346.22
left,86.33,134.05
won,97.04,239.98
won,96.21,255.93
won,32.62,234.28
won,137.71,211.69
won,84.18,182.70
won,103.84,281.02
won,7.69,249.34
won,123.77,263.81
won,54.39,165.64
won,120.82,186.95
left,105.92,143.26
won,25.66,250.30
won,95.31,334.43
won,65.58,65.45
won,141.89,182.58
won,69.82,175.60
left,59.05,292.67
won,115.09,277.18
won,191.73,182.95
won,68.80,135.96
won,86.95,318.50
won,97.83,175.18
won,63.90,272.47
won,110.97,160.46
won,134.80,253.29
won,81.62,301.09
won,68.09,154.18
won,144.75,267.50
won,90.03,105.88
won,189.13,165.65
won,102.55,199.70
left,174.59,189.02
won,222.52,191.04
won,97.95,293.51
won,136.02,165.56
won,127.38,238.02
won,188.48,200.46
won,91.14,271.33
won,108.73,226.36
left,56.53,108.42
won,31.76,187.73
won,78.63,194.39
won,119.47,128.39
left,122.99,144.87
won,124.00,165.57
won,121.82,214.06
won,108.26,210.62
won,95.32,215.26
won,88.44,199.72
won,74.13,209.08
left,70.16,208.82
won,59.73,219.88
won,48.42,204.55
lost,32.39,205.13
won,41.16,221.38
won,17.59,234.29
won,18.16,200.53
won,22.48,218.50
won,51.90,234.01
won,67.56,239.29
won,76.97,247.04
won,87.62,251.65
won,81.55,244.02
left,76.46,235.65
lost,52.23,227.54
won,70.39,235.51
won,93.92,228.32
won,135.51,227.41
won,190.78,217.82
won,501.70,210.75
won,389.80,213.38
left,372.38,204.88
won,361.66,219.34
won,339.05,211.30
won,279.17,214.94
won,259.87,208.97
won,243.59,215.35
won,223.53,209.01
won,229.48,225.69
won,210.68,221.34
left,197.77,233.78
won,178.70,230.72
left,154.47,213.53
won,148.30,229.03
won,160.13,238.42
left,173.39,247.04
won,201.33,251.02
won,222.86,242.43
